opportunity_id,vertical,op_part
130699,custom,0.7265
130742,lacquering,1
130935,painting,1
130941,custom,1
130953,parquet,0.4848
130953,painting,0.5152
130954,laminate,1
130977,painting,1
130988,painting,1
131047,painting,0.3369
131047,laminate,0.663
131058,custom,0
131077,painting,0.4224
131077,wallpapering,0.5775
131179,custom,0.1924
131179,plastering,0
131179,painting,-0.0954
131205,painting,0.4028
131205,wallpapering,0.5972
131343,custom,0
131364,custom,1
131398,custom,1
131402,custom,0
131432,custom,0.1174
131432,painting,0.3331
131432,wall_tiling,0.5495
131465,painting,1
131474,painting,1
131495,laminate,1
131505,laminate,1
131506,custom,0.4895
131506,painting,0.5104
131572,laminate,1
131581,custom,0.082
131581,vinyl,0.1765
131581,wallpapering,0.7415
131602,custom,0.0977
131602,painting,0.9023
131603,parquet,1
131633,custom,1
131675,wallpapering,0.1079
131675,painting,0.8921
131690,wallpapering,-0.3705
131690,custom,0.0516
131690,lacquering,-0.0724
131690,painting,0.7057
131751,custom,0.0867
131751,laminate,0.9133
131772,custom,0
131772,lacquering,0
131772,painting,0
131875,carpet,0.2623
131875,painting,0.2861
131875,custom,0.4516
131879,painting,0.3511
131879,wallpapering,0.6489
131952,custom,0.0837
131952,laminate,0.9164
132183,painting,1
132284,custom,1.0001
132350,parquet,1
132352,custom,-0.8478
132352,painting,1
132365,custom,0
132365,painting,-5.55111512312578e-17
132365,wallpapering,1
132429,painting,0.9999
132442,painting,0.1008
132442,wallpapering,0.8993
132492,painting,0.9999
132516,painting,0
132516,custom,0
132555,floor_tiling,0.1441
132555,custom,0.2465
132555,wall_tiling,0.6093
132570,custom,1
132628,painting,1
132779,wallpapering,0.3136
132779,custom,0.6864
132838,custom,0
132872,painting,1
132966,custom,1
133074,painting,1
133183,laminate,1
133210,laminate,1
133323,painting,1
133377,painting,1
133394,painting,1
133463,lacquering,1
133524,painting,1
133554,custom,1
133711,custom,1
133938,laminate,1
133944,pvc,5.55111512312578e-17
133944,laminate,1
133951,custom,1
134009,painting,1
134029,lacquering,1
134124,painting,1
134141,parquet,1
134162,painting,1
134178,custom,1
134200,custom,-0.1099
134200,lacquering,1.1099
134227,vinyl,-0.6577
134227,lacquering,0.1452
134227,custom,0.7562
134244,floor_tiling,6.93889390390723e-18
134244,custom,0.1683
134244,laminate,0.8317
134361,painting,-1.0753
134361,custom,1.0753
134439,custom,1
134695,painting,1
135191,custom,1
135291,custom,1
135315,painting,1
135450,lacquering,1
135585,painting,1
135762,painting,0.1411
135762,wallpapering,0.8589
135817,wallpapering,0.1175
135817,painting,0.8825
135969,painting,0.094
135969,wallpapering,0.9059
136081,plastering,0
136211,lacquering,1
136395,custom,1
136498,painting,1
136544,custom,1
136929,lacquering,1
136962,painting,1
136965,wallpapering,0.1308
136965,painting,0.8692
137007,custom,0.0509
137007,painting,0.2376
137007,parquet,0.3548
137007,wall_tiling,0.3567
137054,laminate,0.4092
137054,custom,0.5908
137115,lacquering,1
137243,painting,1
137296,painting,0.4292
137296,wallpapering,0.5708
137345,pvc,1
137372,laminate,-0.936
137372,custom,0.9361
137463,painting,1
137558,custom,0.2458
137558,lacquering,0.7541
137761,wallpapering,0.1178
137761,painting,0.8823
137767,painting,0.9999
137785,lacquering,1
137836,wallpapering,0.2087
137836,painting,0.3683
137836,plastering,0.423
137852,painting,1
